auditId,sourceLine,company,country,ownerIndex,investmentFirm,ownershipVehicle,ownerInvestmentYear,topLevelInvestmentYear,exitYear,status,dateBasis,priority,flags,evidenceMilestones,earlierSignals,sourceUrls,proposedYear,evidenceUrl,reviewerNotes
black-hills-colorado-ipp__owner-1__argo-infrastructure-partners,4872,Black Hills Colorado IPP,United States,1,Argo Infrastructure Partners,AIA Energy North America LLC,2016,2016,,Active,close,medium,future_dated_milestone,"Feb 2016 | Divestiture | Black Hills announced the sale of a 49.9 percent member equity interest in the plant to AIA Energy North America. || Apr 2016 | Acquisition | Black Hills closed the sale of the 49.9% member equity interest in Black Hills Colorado IPP for $215 million to AIA Energy North America LLC, an Argo Infrastructure Partners platform.",,https://www.huschblackwell.com/inthenews/-husch-blackwell-llp-represents-black-hills-corp-in-215-million-ipp-sale-transaction | https://www.sec.gov/Archives/edgar/data/1130464/000113046416000173/form8-ksgpurchasecompletion.htm | https://www.sec.gov/Archives/edgar/data/1130464/000113046416000209/bkh10qq22016.htm | https://www.sec.gov/Archives/edgar/data/1130464/000095017025066572/bkh-20250331.htm,,,
anthony-henday-drive-southeast__owner-1__axium-infrastructure,5538,Anthony Henday Drive Southeast,Canada,1,Axium Infrastructure,Fiera Axium Infrastructure Canada L.P,2010,2010,,Active,close,medium,future_dated_milestone,"Dec 2, 2010 | Acquisition | A Fiera Axium-led consortium acquired the concession from Macquarie Essential Assets Partnership.",,https://www.axiuminfra.com/portfolio-assets/?lang=en | https://www.axiuminfra.com/news/page/9/?lang=en | https://majorprojects.alberta.ca/details/Anthony-Henday-Drive-Southeast-Leg/8330 | https://www.axiuminfra.com/wp-content/uploads/2016/12/EN_FieraAxiumInfrastructureCanadaLP_ProjectZapple_Nov302010.pdf,,,
puc-transmission-lp__owner-1__axium-infrastructure,6389,PUC Transmission LP,Canada,1,Axium Infrastructure,Axium Managed Funds,2024,2024,,Active,announced,medium,future_dated_milestone,"Sep 25, 2024 | Acquisition | Axium Infrastructure announced the acquisition of an 80% equity interest in PUC Transmission LP.",,https://www.axiuminfra.com/2024/09/25/september-25-2024-axium-infrastructure-acquires-80-equity-interest-in-regulated-transmission-facilities-to-be-built-in-ontario/?lang=en | https://puctransmissionlp.com/ | https://www.puc.ca/about-puc/ | https://oeb.ca/sites/default/files/PUC%20HOSSM%20Backgrounder-27-08-24-FINAL.pdf,,,
sea-to-sky-highway__owner-1__axium-infrastructure,6506,Sea-to-Sky Highway,Canada,1,Axium Infrastructure,Fiera Axium Infrastructure Canada L.P,2010,2010,,Active,close,medium,future_dated_milestone,"Dec 2, 2010 | Acquisition | A consortium led by Fiera Axium Infrastructure acquired 100% of the economic interests in the Sea-to-Sky Highway concession rights from Macquarie Essential Assets Partnership.",,https://www.axiuminfra.com/wp-content/uploads/2016/12/EN_FieraAxiumInfrastructureCanadaLP_ProjectZapple_Nov302010.pdf | https://www.axiuminfra.com/wp-content/uploads/2016/12/EN_2016-07-06-sea-to-sky-highway-bond-financing-en-f.pdf | https://www.infrastructurebc.com/project/sea-to-sky-highway/ | https://www.axiuminfra.com/portfolio-assets/?lang=en,,,
slate-creek-wind-project__owner-1__axium-infrastructure,6535,Slate Creek Wind Project,United States,1,Axium Infrastructure,Axium Managed Funds,2016,2016,,Active,close,medium,future_dated_milestone,"Jul 11, 2016 | Acquisition | EDF Renewable Energy and Axium announced an agreement for Axium to acquire a 50% interest in the project. || Oct 11, 2016 | Acquisition | EDF Renewable Energy and Axium announced closing of the partnership transaction.",,https://www.axiuminfra.com/2016/07/11/july-11-2016-edf-renewable-energy-and-axium-infrastructure-enter-into-an-agreement-to-partner-on-slate-creek-wind-project/?lang=en | https://www.axiuminfra.com/2016/10/11/october-11-2016-edf-renewable-energy-and-axium-infrastructure-close-on-agreement-to-partner-on-slate-creek-wind-project/?lang=en | https://www.axiuminfra.com/wp-content/uploads/2016/12/EN_2016-10-11-close-of-slate-creek-transaction.pdf | https://www.axiuminfra.com/portfolio-assets/?lang=en,,,
teays-river-investments__owner-1__bci,7383,Teays River Investments,United States,1,BCI,n.a.,2021,2021,,Active,transactional_unspecified,low,weak_same_year_attribution,2021 | Financing | BCI publicly described increasing its investment with Teays River as part of its renewable-resources strategy.,,https://www.teaysinvestments.com/ | https://www.prnewswire.com/news-releases/teays-river-investments-names-micah-vincent-president-and-ceo-302642376.html | https://www.bci.ca/owen-martin-a-global-partnership-approach-in-renewable-resources/ | https://www.bci.ca/wp-content/uploads/2024/08/IRR-Program-FS-2024_Secured.pdf,,,
lighthouse__owner-1__blackrock,7881,Lighthouse,United States,1,BlackRock,Evergreen Infrastructure Fund,2023,2023,,Active,announced,low,weak_same_year_attribution,"Nov 15, 2023 | Acquisition | BlackRock stated that its Evergreen Infrastructure fund had signed definitive documentation to acquire Lighthouse.",,https://www.businesswire.com/news/home/20231115151975/en/BlackRocks-Evergreen-Infrastructure-Fund-Partners-with-European-Institutional-Investors-to-Invest-in-Energy-Transition-and-Energy-Security | https://www.utilitydive.com/news/blackrock-secures-1b-energy-transition-evergreen-infrastructure-fund-ira/700464/ | https://www.esgtoday.com/blackrock-raises-1-billion-for-energy-transition-focused-infrastructure-fund/,,,
sunzia-wind-and-transmission__owner-1__cdpq,12306,SunZia Wind and Transmission,United States,1,CDPQ,n.a.,2023,2023,,Active,close_unattributed,medium,firm_not_named_in_same_year_milestone,"Dec 27, 2023 | Financing | Pattern Energy announced the closing of approximately $11 billion of financing for SunZia Wind and Transmission.",,https://patternenergy.com/pattern-energy-closes-11-billion-financing-of-largest-clean-energy-infrastructure-project-in-u-s-history/ | https://patternenergy.com/fr/projects/sunzia-wind-and-transmission/ | https://www.lacaisse.com/sites/default/files/medias/pdf/en/ra/2024_cdpq_add_information.pdf,,,
vantage-data-centers__owner-4__digitalbridge,15031,Vantage Data Centers,United States / Canada,4,DigitalBridge,n.a.,2020,2017,,Active,close_unattributed,high,earlier_firm_investment_signal | secondary_owner_year_differs_from_display_year,"Jul 2020 | Financing | DigitalBridge-led investors formed Vantage SDC through a $3.5 billion strategic partnership with Vantage Data Centers. || Jul 23, 2020 | Acquisition | CBRE Caledon completed an investment in the newly formed Vantage SDC platform containing 12 stabilized Vantage Data Centers assets. || 2020 | Financing | GCM Grosvenor's Labor Impact Fund committed equity capital to Vantage's North American growth platform.","Mar 27, 2017 | Acquisition | A consortium including Digital Bridge Holdings, PSP Investments, and TIAA Investments acquired Vantage Data Centers from its prior sponsor.",https://vantage-dc.com/ | https://vantage-dc.com/news/vantageacquired/ | https://www.silverlake.com/consortium-of-digital-bridge-psp-investments-and-tiaa-investments-acquires-vantage-data-centers/ | https://www.cbrecaledon.com/wp-content/uploads/2020/07/Vantage-Data-Centers-Investment-Press-Release.pdf | https://www.gcmgrosvenor.com/wp-content/uploads/GCM-Grosvenor-LIF-2020-Impact-Report.pdf | https://www.digitalbridge.com/news/2024-06-13-vantage-data-centers-completes-92-billion-equity-investment-led-by-digitalbridge-and-silver-lake | https://www.digitalbridge.com/portfolio/vantage-data-centers-north-america,,,
vantage-data-centers__owner-6__digitalbridge,15031,Vantage Data Centers,United States / Canada,6,DigitalBridge,n.a.,2024,2017,,Active,close,high,earlier_firm_investment_signal | secondary_owner_year_differs_from_display_year,"Jan 2024 | Financing | Vantage announced a $6.4 billion equity investment round led by DigitalBridge and Silver Lake. || Jun 13, 2024 | Financing | Vantage completed a $9.2 billion equity investment led by DigitalBridge and Silver Lake.","Mar 27, 2017 | Acquisition | A consortium including Digital Bridge Holdings, PSP Investments, and TIAA Investments acquired Vantage Data Centers from its prior sponsor.",https://vantage-dc.com/ | https://vantage-dc.com/news/vantageacquired/ | https://www.silverlake.com/consortium-of-digital-bridge-psp-investments-and-tiaa-investments-acquires-vantage-data-centers/ | https://www.cbrecaledon.com/wp-content/uploads/2020/07/Vantage-Data-Centers-Investment-Press-Release.pdf | https://www.gcmgrosvenor.com/wp-content/uploads/GCM-Grosvenor-LIF-2020-Impact-Report.pdf | https://www.digitalbridge.com/news/2024-06-13-vantage-data-centers-completes-92-billion-equity-investment-led-by-digitalbridge-and-silver-lake | https://www.digitalbridge.com/portfolio/vantage-data-centers-north-america,,,
chester-county-hyperscale-data-center__owner-1__harrison-street,21505,Chester County Hyperscale Data Center,United States,1,Harrison Street,n.a.,2024,2024,,Active,transactional_unspecified,low,weak_same_year_attribution,Feb 2024 | Financing | Reporting described 1547's data-center fund relationship with Harrison Street and identified the Chester County campus as a major 1547 project.,,https://www.datacenterdynamics.com/en/news/1547-csr-planning-2-million-sq-ft-150mw-campus-outside-philadelphia-pennsylvania/ | https://www.datacenterdynamics.com/en/news/1547-csr-seeks-to-raise-250m-for-data-center-fund-report/ | https://baxtel.com/data-center/1547-chester-county-pa | https://www.eastwhiteland.org/news_detail_T2_R162.php | https://dcmag.fr/1547-critical-systems-realty-veut-lever-250-millions-supplementaire-pour-son-fonds-datacenters/,,,
rocky-mountain-midstream__owner-1__manulife,26992,Rocky Mountain Midstream,United States,1,Manulife,Manulife Infrastructure Fund I,2020,2020,2023,Realized,transactional_unspecified,low,weak_same_year_attribution,"2020 | Financing | Manulife’s Equator Principles reporting period included several North American power and infrastructure financings, after which Rocky Mountain Midstream later appeared in its portfolio materials.",,https://www.williams.com/pipeline/rocky-mountain-midstream/ | https://ecmc.state.co.us/cogisdb/NameAddressSearch/CompanyDetail?COID=8478&OpNum=10716 | https://www.manulifeim.com/institutional/global/en/strategies/private-markets/infrastructure/direct-infrastructure-equity | https://investor.williams.com/news-releases/news-release-details/williams-completes-strategic-transactions-dj-basin?mobile=1 | https://wyoenergy.org/wp-content/uploads/2025/10/WSTN25v2_Small.pdf,,,
ontrac__owner-1__oaktree-duration,29094,OnTrac,United States,1,Oaktree / Duration,n.a.,2021,2021,,Active,transactional_unspecified,low,weak_same_year_attribution,2021 | Financing | A public executive biography later stated that a Duration founder previously led Oaktree's investment in LaserShip OnTrac.,,https://www.ontrac.com/about/ | https://www.ontrac.com/lasership-and-ontrac-unveil-new-name-and-brand-identity/ | https://www.ontrac.com/7-day/ | https://www.american-securities.com/en/news/press-releases/lasership-and-ontrac-logistics-to-combine-forming-the-first-pure-play-and-nationwide-e-commerce-last-mile-delivery-network | https://fengate.com/team-member/darcy-wilson,,,
highland-electric-fleets__owner-1__vision-ridge,33833,Highland Electric Fleets,United States,1,Vision Ridge,n.a.,2021,2021,,Active,transactional_unspecified,low,weak_same_year_attribution,Feb 2021 | Financing | Vision Ridge led a $253 million equity investment in Highland; the exact fund vehicle was not publicly disclosed in reviewed sources.,,https://highlandfleets.com/about-us/ | https://highlandfleets.com/projects/ | https://vision-ridge.com/investments/ | https://www.nasdaq.com/press-release/highland-electric-transportation-raises-%24253-million-from-vision-ridge-partners | https://www.prnewswire.com/news-releases/highland-electric-fleets-secures-150-million-equity-investment-from-aiga-capital-partners-to-accelerate-national-expansion-302637254.html,,,
sparkfund__owner-1__vision-ridge,33892,Sparkfund,United States,1,Vision Ridge,n.a.,2017,2017,,Active,transactional_unspecified,low,weak_same_year_attribution,2017 | Financing | Vision Ridge participated in Sparkfund's Series B financing; the exact fund vehicle was not publicly disclosed in reviewed sources.,,https://sparkfund.com/about-us | https://vision-ridge.com/investments/ | https://builtin.com/job/sr-hr-generalist-epx/3730820 | https://www.latitudemedia.com/news/xcel-proposes-nations-first-distributed-capacity-procurement-in-minnesota/,,,
